Code,Country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
887,Yemen,206.6,18.5,2.1,372.4,237.2,68.5,105.3,0.0,90.6,184.6,857.6
316,Guam,0.0,0.0,0.0,44.5,0.8,0.0,0.0,0.0,18.3,279.5,404.9
646,Rwanda,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.4,0.0,0.7,0.0
120,Cameroon,0.3,0.1,0.0,2850.0,7.4,0.6,2.6,90.8,0.3,0.1,640.7
140,Central African Republic,0.2,0.1,1.0,0.4,0.5,0.1,27.1,0.6,1632.2,0.4,18.3
288,Ghana,257.1,0.7,0.1,59.6,3.1,0.8,0.7,6.7,309.6,4.0,101.6
144,Sri Lanka,7001.9,1526.2,717.3,424.5,153.2,318.6,18.0,20.7,92.9,392.2,128.4
292,Gibraltar,12.6,3.0,0.5,0.0,0.0,0.0,8.0,95.9,263.5,274.0,286.0
516,Namibia,0.1,2.1,0.1,0.3,0.0,2.0,0.0,0.5,0.6,0.8,2.9
740,Suriname,0.0,0.6,0.7,0.0,0.0,0.0,180.0,0.8,0.3,0.1,2.7
052,Barbados,63.8,177.1,146.5,0.0,0.0,0.0,5.0,220.2,400.0,418.9,700.0
332,Haiti,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,30.3,3.7
662,Saint Lucia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,3.3
152,Chile,485.6,432.0,112.2,68.5,88.1,253.2,1229.6,1403.0,526.4,625.6,2052.9
304,Greenland,0.1,2.7,0.1,0.2,0.0,0.0,0.0,0.1,0.0,0.1,0.1
170,Colombia,1191.0,585.3,277.8,26.1,344.8,62.3,371.4,1373.4,305.6,2756.8,991.5
308,Grenada,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.1,0.1,10.7
548,Vanuatu,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.3,0.2,62.2,2.5
760,Syrian Arab Republic,2216.2,77.2,658.2,392.0,2727.9,1074.1,5.7,37.0,301.8,597.0,3383.4
426,Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.5,1.9
178,Congo,0.0,0.0,0.0,0.0,1.6,1.2,7.2,0.0,8.1,0.4,4.9
320,Guatemala,0.0,0.0,0.0,0.3,1.0,0.0,228.5,231.3,55.6,119.7,1227.5
180,Democratic Republic of the Congo,0.1,0.0,0.0,0.3,0.2,0.0,0.1,191.5,0.3,0.05,122.6
340,Honduras,1.9,0.0,0.3,0.2,0.4,0.0,67.7,83.6,0.0,1.1,45.2
562,Niger,0.0,0.6,0.4,0.8,0.0,0.0,0.7,0.4,0.6,33.6,30.9
188,Costa Rica,6.1,4.4,6.4,1.6,7.1,0.1,0.5,0.4,4.4,43.2,507.6
344,Hong Kong,9184.9,24300.5,21913.5,5481.8,3070.5,4758.5,9131.7,7406.5,15675.6,169412.0,113118.1
566,Nigeria,4.1,16.5,12.8,60.0,10.3,5.4,8.2,10.1,102.0,67.6,560.5
191,Croatia,289.9,43.8,89.5,270.9,26.4,277.2,339.6,599.0,304.3,636.0,1312.1
352,Iceland,17.6,8.3,28.2,26.6,5.5,12.3,39.6,32.1,2211.4,76.7,422.8
600,Paraguay,0.8,6.0,0.1,0.7,0.3,107.8,333.0,0.3,0.1,651.4,23.8
800,Uganda,206.0,0.6,0.8,0.1,0.1,1.0,0.4,0.1,8.2,21.7,29.1
162,Christmas Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,Mauritania,2.1,0.4,0.1,0.2,1.1,0.1,0.0,0.0,79.3,34.9,64.4
744,Svalbard and Jan Mayen Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
500,Montserrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0
418,Lao People's Democratic Republic,0.1,0.8,493.1,0.6,0.1,291.6,0.9,60.9,0.0,4.5,363.2
832,Jersey,0.0,0.0,0.0,1.4,3.1,3.5,4.1,10.5,20.3,6.2,4.1
174,Comoros,0.4,0.0,0.2,0.0,0.2,0.1,0.1,0.0,66.3,55.1,59.0
508,Mozambique,0.2,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,235.2,2645.6
